id,age,monthly_income,collateral_value,loan_amount,collateral_debt,monthly_payment,auto_year,Total_value,Total_monthly,pre_approved,form_completed,education_level,verified_restriction,zip_code,gender,expired_debts,dishonored_checks,protests
173465,-0.375,-0.13333333333333333,-0.11764705882352941,-0.4,1.4272857142857143,-0.5515543163874196,-0.125,0.17857142857142858,0.08012692307692308,0,1,9,0,3,1,0,0,0
173464,0.875,0.2,0.058823529411764705,0.1,1.1415714285714287,-0.2513745211975924,0.375,0.3448275862068966,0.08986944444444443,0,0,9,1,1,1,0,0,1
173463,0.875,-0.5,-0.5882352941176471,-0.1,-0.0012857142857142856,-0.22583839278734663,-1.625,0.8,0.22222,0,0,9,2,9,1,0,0,0
173462,-0.75,0.3333333333333333,1.1176470588235294,0.1,4.713,1.44583995622378,0.25,0.1388888888888889,0.2437175,0,0,9,0,2,1,0,0,0
173461,1.625,0.7,-0.5588235294117647,0.045,-0.0012857142857142856,-0.2977304114443547,-1.25,0.9,0.059949019607843136,0,0,9,2,5,1,0,0,0
173460,0.9375,0.8893333333333333,0.23529411764705882,-0.4,0.12728571428571428,-0.6728769836099748,0.25,0.20080321285140562,0.0285409315455187,1,0,7,0,4,0,0,0,0
173458,1.0625,0.26666666666666666,-0.7058823529411765,-0.4,-0.0012857142857142856,-0.5515543163874196,-2.625,0.625,0.054823684210526316,0,0,9,2,2,1,0,0,0
173457,-0.75,-0.6,-0.5882352941176471,-0.1,0.2844285714285714,-0.008677072204705902,-2.875,0.6666666666666666,0.347225,0,0,9,2,8,0,0,0,0
173455,-1.0625,0.6666666666666666,-0.3411764705882353,-0.4,0.213,-0.365948354483154,-0.625,0.3184713375796178,0.055912,1,0,7,0,7,1,0,0,0
173450,0.6875,0.0,-0.17647058823529413,-0.1,0.15014285714285713,0.07113635771425597,0.125,0.4429678848283499,0.1491,1,0,4,0,6,1,0,0,0
173449,0.0,0.3333333333333333,-0.47058823529411764,-0.4,-0.0012857142857142856,-0.22583839278734663,-1.375,0.4166666666666667,0.08333249999999999,0,0,9,2,3,1,0,0,0
173442,1.1875,1.5,0.058823529411764705,0.3,-0.0012857142857142856,0.6539072882195066,0.375,0.5714285714285714,0.08946000000000001,1,0,9,1,4,1,0,0,0
173441,-0.375,-0.6666666666666666,-0.6470588235294118,-0.18,0.08442857142857142,-0.31268728665607004,-1.25,0.75,0.3,0,0,9,2,2,1,0,0,0
173439,-1.125,1.0,6.470588235294118,2.1,2.713,2.1627537327044846,0.5,0.20134228187919462,0.20833333333333334,0,0,9,0,8,0,0,0,0
173438,-0.6875,0.5,1.1176470588235294,-0.4,1.1415714285714287,-0.5515543163874196,0.5,0.10638297872340426,0.046295555555555555,0,0,9,1,1,0,0,0,1
173437,-0.125,0.12633333333333333,-0.20588235294117646,-0.4,-0.0012857142857142856,-0.22583839278734663,-0.125,0.30303030303030304,0.09864752885469073,1,0,7,0,8,1,0,0,0
173432,0.5,0.26666666666666666,-0.35294117647058826,-0.4,0.113,-0.6728769836099748,0.0,0.33783783783783783,0.04257105263157895,0,0,9,1,5,1,0,0,0
173431,-0.75,-0.7333333333333333,3.5294117647058822,-0.4,7.141571428571429,-0.5515543163874196,0.125,0.038461538461538464,0.2604125,0,0,9,1,2,0,0,0,0
173428,0.625,-0.5,-0.5882352941176471,-0.2466,0.09871428571428571,0.07817182166401751,-0.875,0.6106542056074766,0.3,0,0,9,2,3,2,0,0,0
173425,-0.875,-0.43333333333333335,-0.7941176470588235,-0.315,-0.0012857142857142856,-0.28988717200406494,-0.25,0.9,0.18161764705882352,1,0,7,0,6,1,0,0,0
173423,0.375,-0.16666666666666666,-0.47058823529411764,0.1,0.06561428571428572,0.011777887797378591,-1.125,0.8020339581177868,0.169808,0,0,9,2,1,1,0,0,0
173422,-0.25,0.0,0.5882352941176471,0.1,-0.0012857142857142856,-0.2513745211975924,-0.75,0.3333333333333333,0.10784333333333332,0,0,9,2,3,1,0,0,0
173420,0.875,-0.5,-0.5882352941176471,0.0,0.35585714285714287,-0.11725773249602627,-0.75,0.72,0.25,0,0,9,2,5,0,0,0,0
173415,0.6875,0.5,1.1764705882352942,1.6,0.3315714285714286,2.3436954425827974,0.25,0.5905976848570753,0.2932088888888889,1,0,6,0,3,1,0,0,0
173413,0.125,2.8,-0.27647058823529413,0.477,-0.0012857142857142856,0.7993068765145791,-0.625,0.9,0.06375,1,0,4,0,8,1,0,0,0
173410,1.0,0.16666666666666666,-0.3575294117647059,0.2,-0.0012857142857142856,1.0008077754905282,-0.625,0.7901163625915817,0.22973714285714286,1,0,7,0,1,2,0,0,0
173409,-0.0625,-0.3333333333333333,-0.29411764705882354,-0.4,-0.0012857142857142856,-0.365948354483154,0.5,0.3333333333333333,0.13978,0,0,9,1,4,0,0,0,0
173408,0.75,0.0,-0.6470588235294118,-0.09,-0.0012857142857142856,-0.21497250957604816,-1.5,0.9,0.1125,0,0,9,2,3,1,0,0,0
173404,0.125,0.9433333333333334,0.8823529411764706,-0.4,0.5701428571428572,0.17573025510071136,0.5,0.1282051282051282,0.08360891938250428,1,0,4,0,4,0,0,0,0
173400,0.5625,0.0,0.0,0.1,-0.0012857142857142856,-0.008677072204705902,0.0,0.5,0.13889,0,1,9,1,8,1,0,0,0
173399,0.375,-0.5666666666666667,-0.29411764705882354,-0.4,-0.0012857142857142856,-0.5515543163874196,-0.875,0.3333333333333333,0.16025384615384616,0,0,9,2,1,0,0,0,0
173396,-0.4375,-0.5,-0.5882352941176471,-0.4,-0.0012857142857142856,-0.5515543163874196,-1.5,0.5,0.13888666666666669,0,0,9,2,9,1,0,0,0
173395,0.0,0.6666666666666666,1.1764705882352942,-0.4,0.8558571428571429,-0.5413138077494333,0.75,0.10869565217391304,0.042452,0,1,9,1,7,1,0,0,0
173394,-0.25,0.08166666666666667,-0.5882352941176471,-0.4,-0.0012857142857142856,-0.40678010266565917,-1.25,0.5,0.08132203389830508,0,0,9,2,1,0,0,0,0
173382,0.0,0.0,0.0,-0.2,0.42728571428571427,0.1216092972353233,0.25,0.30434782608695654,0.15555666666666668,1,1,7,0,6,1,0,0,0
173381,2.25,7.0,0.8823529411764706,1.8,-0.0012857142857142856,1.892253172473096,0.375,0.7714285714285715,0.04775791666666667,0,0,9,1,7,1,0,0,0
173379,-1.125,-0.5666666666666667,-0.17647058823529413,-0.4,0.5701428571428572,-0.5515543163874196,0.125,0.23809523809523808,0.16025384615384616,1,0,9,0,3,0,0,0,0
173376,0.25,1.2666666666666666,1.2941176470588236,0.1,0.713,-0.008677072204705902,0.625,0.2127659574468085,0.061275,0,0,9,1,4,1,0,0,0
173372,-0.25,-0.5666666666666667,-0.17647058823529413,0.03,0.42728571428571427,-0.31036818928003757,0.0,0.465,0.23145384615384615,0,0,9,1,4,0,0,0,0
173371,0.4375,-0.6,-0.8235294117647058,-0.4,-0.0012857142857142856,-0.5515543163874196,0.125,0.8333333333333334,0.17360833333333334,0,0,9,1,6,0,0,0,0
173369,1.5625,-0.16666666666666666,-0.058823529411764705,-0.4,0.5987142857142858,-0.6728769836099748,-0.25,0.21551724137931033,0.064708,0,0,9,1,3,1,0,0,0
173364,1.5,0.9666666666666667,0.8823529411764706,1.1,-0.0012857142857142856,1.656096099226099,0.5,0.5714285714285714,0.17890847457627118,0,0,9,1,8,0,0,0,0
173362,0.6875,0.3333333333333333,-0.058823529411764705,0.3,-0.0012857142857142856,0.2084581911040467,0.125,0.631578947368421,0.125,1,0,5,1,3,1,0,0,0
173354,-0.5625,-0.4583333333333333,-0.4117647058823529,0.27,-0.0012857142857142856,-0.10805951481356028,-0.125,0.9,0.23294153846153845,1,0,7,0,1,0,0,0,0
173353,-1.0,0.8333333333333334,2.9411764705882355,-0.4,-0.0012857142857142856,0.3170388513953669,0.75,0.07142857142857142,0.09848545454545454,1,0,9,0,2,1,0,0,0
173352,-0.5625,0.6666666666666666,-0.11764705882352941,0.72,-0.0012857142857142856,0.2713343929958048,-0.375,0.9,0.104826,0,0,9,1,2,1,0,0,0
173350,0.1875,3.3333333333333335,6.0588235294117645,8.46,-0.0012857142857142856,9.067931313026032,0.875,0.7609756097560976,0.3,1,0,7,0,7,0,0,0,0
173349,0.75,0.0,0.5882352941176471,1.26,0.6967142857142857,1.2507491466242802,0.625,0.6191595482428481,0.3,1,1,7,0,4,0,0,0,0
173348,-0.375,-0.16666666666666666,-0.29411764705882354,0.1,0.35585714285714287,0.6427547749954399,-1.0,0.5714285714285714,0.26666799999999996,0,0,9,2,6,1,0,0,0
173347,0.1875,0.6666666666666666,0.058823529411764705,0.6,-0.0012857142857142856,0.5341741147041197,-0.25,0.7142857142857143,0.125,1,0,9,0,1,1,0,0,0
173346,0.9375,1.8,-0.5882352941176471,-0.4,-0.0012857142857142856,-0.22583839278734663,-1.75,0.5,0.03968214285714285,0,0,9,2,1,1,0,0,0
173342,-0.9375,0.0,1.1764705882352942,1.1,-0.0012857142857142856,1.0770253016129454,0.25,0.5,0.27777666666666667,1,0,7,0,8,1,0,0,0
173340,-0.125,3.3333333333333335,5.882352941176471,0.6,8.570142857142857,2.715975714620736,0.75,0.08333333333333333,0.11248538461538461,0,0,9,0,9,1,0,0,0
173339,0.0625,0.5,1.4705882352941178,-0.1,2.1415714285714285,-0.1389634416447351,0.5,0.13333333333333333,0.08148222222222222,0,0,9,1,6,1,0,0,0
173338,0.625,0.6333333333333333,-0.5120588235294118,-0.65,0.2987142857142857,-0.32084321338301586,-1.0,0.1866368047779022,0.060585714285714284,0,0,9,2,1,2,0,0,0
173335,0.0625,-0.5,-0.5882352941176471,0.0,-0.0012857142857142856,-0.11725773249602627,-1.25,0.9,0.25,0,0,9,2,1,0,0,0,0
173334,-0.375,0.7,-0.29411764705882354,0.3,0.5701428571428572,0.9901764077442219,-0.125,0.631578947368421,0.1568627450980392,0,0,9,1,3,1,0,0,0
173332,-0.8125,-0.7066666666666667,-0.5882352941176471,-0.3,0.03522142857142857,-0.44297365609609923,0.0,0.5850490709908294,0.2840909090909091,0,0,9,1,4,0,0,0,0
173330,-1.125,-0.06666666666666667,0.5882352941176471,1.116,-0.0012857142857142856,1.0944055032962452,-0.25,0.672,0.3,1,0,7,0,4,1,0,0,0
173329,0.375,1.5,0.23529411764705882,-0.4,0.35585714285714287,0.17573025510071136,0.125,0.18867924528301888,0.064992,1,1,7,0,4,0,0,0,0
173328,-0.9375,0.3333333333333333,-0.8235294117647058,-0.36,-0.0012857142857142856,-0.15634364332803502,-1.125,0.9,0.09,0,1,9,2,2,1,0,0,0
173325,0.0,-0.3333333333333333,-0.5882352941176471,0.0,0.5701428571428572,-0.3356698022252912,-1.75,0.6428571428571429,0.14559,0,1,9,1,6,1,0,0,0
173324,-0.75,-0.6666666666666666,-0.7647058823529411,-0.4,-0.0012857142857142856,-0.5515543163874196,-0.125,0.7142857142857143,0.20833000000000002,1,0,8,0,3,1,0,0,0
173318,0.1875,-0.3333333333333333,-0.47058823529411764,-0.2,-0.0012857142857142856,-0.2584099851473539,-1.0,0.5833333333333334,0.160415,0,1,9,2,1,1,0,0,0
173316,-0.125,-0.44,0.29411764705882354,0.3,1.1415714285714287,0.2084581911040467,0.25,0.36363636363636365,0.2976190476190476,0,0,9,1,6,0,0,0,0
173314,-0.4375,-0.4,-0.5882352941176471,-0.3,0.5701428571428572,-0.44297365609609923,-0.25,0.42857142857142855,0.1388888888888889,1,0,7,0,8,1,0,0,0
173312,0.25,0.6666666666666666,-0.6764705882352942,-0.135,-0.0012857142857142856,-0.4494879745681007,-2.0,0.9,0.0495,0,0,9,2,3,0,0,0,0
173311,-0.75,0.0,0.35294117647058826,1.0,1.1415714285714287,1.1747400786929674,0.125,0.5588235294117647,0.2902766666666667,0,0,9,0,5,0,0,0,0
